id;i_sbn;title;price;number_of_pages;publish_year;cover_url
1;Frozen bus;hard drive Robust Networked;4043;52273;part;Dynamic
2;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;22879;Gene;Auto Loan Account modular Refined
3;digital maroon;EXE projection Fresh;35629;31800;Gorg;cutting-edge ability Hat
4;supply-chains magenta;encompassing;24412;94290;cong;Oklahoma facilitate
5;Engineer;Exclusive Moroccan Dirham card;14808;28484;Comp;Home
6;Investor Public-key;Lebanon;44778;98565;Pers;24/7 Re-contextualized cross-platform
7;invoice withdrawal;bypassing optical;15071;32078;mage;red firewall open-source
8;deposit Sausages;disintermediate Cambridgeshire hacking;67569;34106;Conc;Profound
9;parsing;Borders content-based;99625;9310;Cust;even-keeled Saint Helena Pound
10;Internal AI optical;bypassing Marketing;78534;89855;Home;Supervisor clear-thinking
